N,mu,mutation,run,found,generation_found,best_fit,best_individual
4,100,0.3,4,True,1,6,"[2, 0, 3, 1]"
6,20,0.01,0,False,-1,14,"[1, 4, 2, 0, 5, 3]"
6,20,0.01,1,False,-1,14,"[3, 5, 0, 2, 4, 1]"
6,20,0.01,2,True,1,15,"[4, 2, 0, 5, 3, 1]"
6,20,0.01,3,True,3,15,"[1, 3, 5, 0, 2, 4]"
6,20,0.01,4,True,3,15,"[1, 3, 5, 0, 2, 4]"
6,20,0.05,0,False,-1,14,"[3, 2, 0, 5, 1, 4]"
6,20,0.05,1,True,3,15,"[3, 0, 4, 1, 5, 2]"
6,20,0.05,2,False,-1,14,"[4, 1, 3, 5, 2, 0]"
6,20,0.05,3,False,-1,14,"[4, 1, 5, 0, 2, 3]"
6,20,0.05,4,False,-1,14,"[0, 3, 1, 4, 2, 5]"
6,20,0.1,0,True,3,15,"[4, 2, 0, 5, 3, 1]"
6,20,0.1,1,False,-1,14,"[1, 4, 2, 0, 5, 3]"
6,20,0.1,2,False,-1,14,"[3, 0, 2, 4, 5, 1]"
6,20,0.1,3,False,-1,14,"[3, 0, 2, 4, 1, 5]"
6,20,0.1,4,True,174,15,"[4, 2, 0, 5, 3, 1]"
6,20,0.15,0,False,-1,14,"[5, 2, 4, 1, 3, 0]"
6,20,0.15,1,True,7,15,"[3, 0, 4, 1, 5, 2]"
6,20,0.15,2,False,-1,14,"[2, 0, 5, 4, 1, 3]"
6,20,0.15,3,True,114,15,"[1, 3, 5, 0, 2, 4]"
6,20,0.15,4,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,20,0.2,0,False,-1,14,"[2, 0, 5, 4, 1, 3]"
6,20,0.2,1,False,-1,14,"[1, 5, 4, 2, 0, 3]"
6,20,0.2,2,False,-1,14,"[3, 1, 4, 2, 5, 0]"
6,20,0.2,3,False,-1,14,"[1, 5, 4, 2, 0, 3]"
6,20,0.2,4,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,20,0.3,0,True,64,15,"[4, 2, 0, 5, 3, 1]"
6,20,0.3,1,True,21,15,"[4, 2, 0, 5, 3, 1]"
6,20,0.3,2,True,9,15,"[3, 0, 4, 1, 5, 2]"
6,20,0.3,3,True,277,15,"[3, 0, 4, 1, 5, 2]"
6,20,0.3,4,True,3,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.01,0,True,1,15,"[1, 3, 5, 0, 2, 4]"
6,50,0.01,1,True,3,15,"[3, 0, 4, 1, 5, 2]"
6,50,0.01,2,True,6,15,"[4, 2, 0, 5, 3, 1]"
6,50,0.01,3,False,-1,14,"[4, 3, 0, 2, 5, 1]"
6,50,0.01,4,False,-1,14,"[2, 4, 1, 3, 0, 5]"
6,50,0.05,0,True,1,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.05,1,True,10,15,"[4, 2, 0, 5, 3, 1]"
6,50,0.05,2,True,3,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.05,3,True,1,15,"[3, 0, 4, 1, 5, 2]"
6,50,0.05,4,True,1,15,"[2, 5, 1, 4, 0, 3]"
6,50,0.1,0,False,-1,14,"[1, 5, 4, 2, 0, 3]"
